sentence_index,chapter_number,sentence
1,1,""" I In my younger and more vulnerable years my father gave me some advice that I\u2019ve been turning over in my mind ever since."""
2,1,"""\u201cWhenever you feel like criticizing anyone,\u201d he told me, \u201cjust remember that all the people in this world haven\u2019t had the advantages that you\u2019ve had.\u201d"""
3,1,"""He didn\u2019t say any more, but we\u2019ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that."""
4,1,"""In consequence, I\u2019m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores."""
5,1,"""The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men."""
6,1,"""Most of the confidences were unsought\u2014frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions."""
7,1,"""Reserving judgements is a matter of infinite hope."""
8,1,"""I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth."""
9,1,"""And, after boasting this way of my tolerance, I come to the admission that it has a limit."""
10,1,"""Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don\u2019t care what it\u2019s founded on."""
11,1,"""When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart."""
12,1,"""Only Gatsby, the man who gives his name to this book, was exempt from my reaction\u2014Gatsby, who represented everything for which I have an unaffected scorn."""
13,1,"""If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away."""
14,1,"""This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the \u201ccreative temperament\u201d\u2014it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again."""
15,1,"""No\u2014Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men."""
16,1,"""------------------------------------------------------------------------"""
17,1,"""My family have been prominent, well-to-do people in this Middle Western city for three generations."""
18,1,"""The Carraways are something of a clan, and we have a tradition that we\u2019re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather\u2019s brother, who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business that my father carries on today."""
19,1,"""I never saw this great-uncle, but I\u2019m supposed to look like him\u2014with special reference to the rather hard-boiled painting that hangs in father\u2019s office."""
20,1,"""I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War."""
21,1,"""I enjoyed the counter-raid so thoroughly that I came back restless."""
22,1,"""Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe\u2014so I decided to go East and learn the bond business."""
23,1,"""Everybody I knew was in the bond business, so I supposed it could support one more single man."""
24,1,"""All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said, \u201cWhy\u2014ye-es,\u201d with very grave, hesitant faces."""
25,1,"""Father agreed to finance me for a year, and after various delays I came East, permanently, I thought, in the spring of twenty-two."""
26,1,"""The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea."""
27,1,"""He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone."""
28,1,"""I had a dog\u2014at least I had him for a few days until he ran away\u2014and an old Dodge and a Finnish woman, who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove."""
29,1,"""It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road."""
30,1,"""\u201cHow do you get to West Egg village?\u201d"""
31,1,"""he asked helplessly."""
32,1,"""I told him."""
33,1,"""And as I walked on I was lonely no longer."""
34,1,"""I was a guide, a pathfinder, an original settler."""
35,1,"""He had casually conferred on me the freedom of the neighbourhood."""
36,1,"""And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer."""
37,1,"""There was so much to read, for one thing, and so much fine health to be pulled down out of the young breath-giving air."""
38,1,"""I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew."""
39,1,"""And I had the high intention of reading many other books besides."""
40,1,"""I was rather literary in college\u2014one year I wrote a series of very solemn and obvious editorials for the Yale News\u2014and now I was going to bring back all such things into my life and become again that most limited of all specialists, the \u201cwell-rounded man.\u201d"""
41,1,"""This isn\u2019t just an epigram\u2014life is much more successfully looked at from a single window, after all."""
42,1,"""It was a matter of chance that I should have rented a house in one of the strangest communities in North America."""
43,1,"""It was on that slender riotous island which extends itself due east of New York\u2014and where there are, among other natural curiosities, two unusual formations of land."""
44,1,"""Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound."""
45,1,"""They are not perfect ovals\u2014like the egg in the Columbus story, they are both crushed flat at the contact end\u2014but their physical resemblance must be a source of perpetual wonder to the gulls that fly overhead."""
46,1,"""To the wingless a more interesting phenomenon is their dissimilarity in every particular except shape and size."""
47,1,"""I lived at West Egg, the\u2014well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them."""
48,1,"""My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season."""
